Variable,Use
hist12_kol_max_max,Y
hist12_kol_max_mean,Y
hist12_kol_max_min,Y
hist12_kol_max_std,Y
hist12_kol_max_sum,Y
hist24_kol_max_max,Y
hist24_kol_max_mean,Y
hist24_kol_max_min,Y
hist24_kol_max_std,Y
hist24_kol_max_sum,Y
hist6_kol_max_max,Y
hist6_kol_max_mean,Y
hist6_kol_max_min,Y
hist6_kol_max_std,Y
hist6_kol_max_sum,Y
max_total_overdue,Y
hist12_kol_mean_max,Y
hist12_kol_mean_mean,Y
hist12_kol_mean_min,Y
hist12_kol_mean_std,Y
hist12_kol_mean_sum,Y
hist24_kol_mean_max,Y
hist24_kol_mean_mean,Y
hist24_kol_mean_min,Y
hist24_kol_mean_std,Y
hist24_kol_mean_sum,Y
hist6_kol_mean_max,Y
hist6_kol_mean_mean,Y
hist6_kol_mean_min,Y
hist6_kol_mean_std,Y
hist6_kol_mean_sum,Y
sum_total_overdue,Y
max_bakiDebet,Y
max_plafon,Y
max_plafonAwal,Y
max_ratio_dpd_os,Y
max_ratio_os_plafon,Y
max_ratio_overdue_os,Y
max_ratio_overdue_plafon,Y
max_ratio_unused_plafon,Y
max_utilization,Y
mean_ratio_dpd_os,Y
mean_ratio_os_plafon,Y
mean_ratio_overdue_os,Y
mean_ratio_overdue_plafon,Y
mean_ratio_unused_plafon,Y
min_ratio_dpd_os,Y
min_ratio_os_plafon,Y
min_ratio_overdue_os,Y
min_ratio_overdue_plafon,Y
min_ratio_unused_plafon,Y
std_ratio_dpd_os,Y
std_ratio_os_plafon,Y
std_ratio_overdue_os,Y
std_ratio_overdue_plafon,Y
std_ratio_unused_plafon,Y
sum_bakiDebet,Y
sum_plafon,Y
sum_plafonAwal,Y
facility_count,Y
max_jumlahHariTunggakan,Y
nunique_jenisKredit,Y
nunique_jenisPenggunaan,Y
nunique_ljk,Y
nunique_sektorEkonomi,Y
hist12_ht_max_max,Y
hist12_ht_max_mean,Y
hist12_ht_max_min,Y
hist12_ht_max_std,Y
hist12_ht_max_sum,Y
hist24_ht_max_max,Y
hist24_ht_max_mean,Y
hist24_ht_max_min,Y
hist24_ht_max_std,Y
hist24_ht_max_sum,Y
hist6_ht_max_max,Y
hist6_ht_max_mean,Y
hist6_ht_max_min,Y
hist6_ht_max_std,Y
hist6_ht_max_sum,Y
hist12_ht_mean_max,Y
hist12_ht_mean_mean,Y
hist12_ht_mean_min,Y
hist12_ht_mean_std,Y
hist12_ht_mean_sum,Y
hist24_ht_mean_max,Y
hist24_ht_mean_mean,Y
hist24_ht_mean_min,Y
hist24_ht_mean_std,Y
hist24_ht_mean_sum,Y
hist6_ht_mean_max,Y
hist6_ht_mean_mean,Y
hist6_ht_mean_min,Y
hist6_ht_mean_std,Y
hist6_ht_mean_sum,Y
max_interest_rate,Y
flag_dpd30,Y
flag_dpd30_count,Y
flag_dpd60,Y
flag_dpd60_count,Y
flag_dpd90,Y
flag_dpd90_count,Y
flag_kol2,Y
flag_kol2_count,Y
flag_kol3,Y
flag_kol3_count,Y
flag_kol4,Y
